MomentoHu1,MomentoHu2,MomentoHu3,MomentoHu4,MomentoHu5,MomentoHu6,MomentoHu7,Etiqueta
0.0007865962417135562,1.3119809303707477e-07,3.780216467081287e-15,5.5548211237117755e-14,7.853554357875002e-28,2.0065218907085058e-17,-1.7647966701549225e-28,uno
0.000786279639582833,1.3317625585563322e-07,5.900155795388552e-15,1.480599587132585e-14,1.0155033702151864e-28,4.8936332423143965e-18,-9.400990895165688e-29,uno
0.000773321995558254,1.294662685038196e-07,1.236186100855787e-15,5.367898825734473e-15,-1.3298480594725086e-29,-1.8471353414421705e-18,3.788713082258647e-30,uno
0.0007933703153709656,1.3790109314877152e-07,4.223769553536154e-13,5.711595493469192e-13,2.696926577141198e-25,2.077946601962643e-16,-7.723647758830884e-26,uno
0.000778738533075387,1.3113109378301013e-07,1.8897652770240248e-14,6.820162832938217e-14,2.2930643086111935e-27,2.2416852768737222e-17,-8.584265984269717e-28,uno
0.0007712149022023884,1.3026985114579518e-07,1.7732306633721657e-14,4.255917592939299e-14,7.935136720419581e-29,-1.2182247137664298e-18,-1.1664599935235528e-27,uno
0.0007926761654476119,1.3473320936500146e-07,6.660273917056622e-14,1.791088038261799e-13,1.9540614110189677e-26,6.555381690913272e-17,-9.223227461044731e-28,uno
0.0007986538103810592,1.365702331128497e-07,6.873687906400393e-14,3.056464654359358e-14,-7.153966059931172e-28,-2.4281180918570903e-19,1.204525082332552e-27,uno
0.000778738533075387,1.3113109378301013e-07,1.8897652770240248e-14,6.820162832938217e-14,2.2930643086111935e-27,2.2416852768737222e-17,-8.584265984269717e-28,uno
0.000786279639582833,1.3317625585563322e-07,5.900155795388552e-15,1.480599587132585e-14,1.0155033702151864e-28,4.8936332423143965e-18,-9.400990895165688e-29,uno
0.0007767964442904696,1.3008917070572133e-07,2.512398592437259e-16,2.3971898486486464e-15,1.6688108032611305e-30,6.653702024597996e-19,-8.22207112507565e-31,uno
0.0007937966285586485,1.373537566396645e-07,2.4040250215892913e-14,3.8226758981005215e-14,2.3924005677446868e-28,3.805141451543876e-18,1.1338682559166242e-27,uno
0.0007986538103810592,1.365702331128497e-07,6.873687906400393e-14,3.056464654359358e-14,-7.153966059931172e-28,-2.4281180918570903e-19,1.204525082332552e-27,uno
0.0006804969204961237,5.673343841902117e-09,3.3262579448742778e-15,1.5569428359298367e-14,2.7869790163747845e-29,-7.60859988014579e-19,-1.0852206158810165e-28,uno
0.0007767964442904696,1.3008917070572133e-07,2.512398592437259e-16,2.3971898486486464e-15,1.6688108032611305e-30,6.653702024597996e-19,-8.22207112507565e-31,uno
0.0007808858615428872,1.26332990501237e-07,2.9004827497240226e-13,5.24545113841981e-13,2.0433485043601073e-25,1.740862348629243e-16,1.0447878776836136e-26,uno
0.0007712149022023884,1.3026985114579518e-07,1.7732306633721657e-14,4.255917592939299e-14,7.935136720419581e-29,-1.2182247137664298e-18,-1.1664599935235528e-27,uno
0.0007926761654476119,1.3473320936500146e-07,6.660273917056622e-14,1.791088038261799e-13,1.9540614110189677e-26,6.555381690913272e-17,-9.223227461044731e-28,uno
0.000773321995558254,1.294662685038196e-07,1.236186100855787e-15,5.367898825734473e-15,-1.3298480594725086e-29,-1.8471353414421705e-18,3.788713082258647e-30,uno
0.0007808858615428872,1.26332990501237e-07,2.9004827497240226e-13,5.24545113841981e-13,2.0433485043601073e-25,1.740862348629243e-16,1.0447878776836136e-26,uno
0.0007865962417135562,1.3119809303707477e-07,3.780216467081287e-15,5.5548211237117755e-14,7.853554357875002e-28,2.0065218907085058e-17,-1.7647966701549225e-28,uno
0.0007554513314863777,7.188764225536128e-08,7.270549148066644e-14,3.619348636819228e-13,5.81498468274687e-26,9.592470742166096e-17,8.107511149076269e-27,uno
0.0007652213911634016,5.659196635824866e-08,3.9717327839670044e-13,4.007854799106481e-13,1.4209792787807997e-25,9.26604599620375e-17,-7.333013938724228e-26,dos
0.0007500867716584902,5.447161063571734e-08,4.0588398600398714e-14,1.1073886687810481e-13,7.410619610512581e-27,2.5811696808905505e-17,-4.49243996747436e-28,dos
0.0007396365412706283,5.096273333517959e-08,2.214228787786747e-13,2.266514120891508e-13,4.573047592849773e-26,4.852269466561558e-17,-2.206381259190638e-26,dos
0.0007379889230739586,4.262791032188912e-08,1.3868605732006749e-13,1.124486435631917e-13,1.0981291729601805e-26,2.2838843337367192e-17,-8.752487354424473e-27,dos
0.0007652213911634016,5.659196635824866e-08,3.9717327839670044e-13,4.007854799106481e-13,1.4209792787807997e-25,9.26604599620375e-17,-7.333013938724228e-26,dos
0.00071287408810634,2.550409844896091e-09,3.4563463559464824e-13,1.4503024336816414e-13,3.1148931283404305e-26,6.94108114361334e-18,-9.171365283135317e-27,dos
0.000695225572088635,5.863392079567214e-09,1.861697176415402e-14,5.844600955471558e-14,-1.4194546477294691e-27,1.3372879151598145e-18,-1.3046020531988863e-27,dos
0.0007193164942601451,4.2258034515702745e-09,1.3086474195487056e-15,1.877656650906351e-13,-2.861588758491539e-27,-8.572333933781337e-18,-6.887432000633614e-28,dos
0.0007394512475583461,4.111693803855135e-08,1.2220084358085235e-13,1.2141726634485674e-13,1.1537208026651829e-26,1.9784940609902033e-17,9.253456585680358e-27,dos
0.0007193164942601451,4.2258034515702745e-09,1.3086474195487056e-15,1.877656650906351e-13,-2.861588758491539e-27,-8.572333933781337e-18,-6.887432000633614e-28,dos
0.0007205773148257963,6.075699002475465e-09,3.492585691334868e-13,1.3191489021296796e-13,2.779598016599807e-26,9.831283585347324e-18,-5.395759346109446e-27,dos
